actor_name,role,movie_title
Laurence Fishburne,Morpheus,The Matrix
Carrie-Anne Moss,Trinity,The Matrix
Keanu Reeves,Neo,The Matrix
Laurence Fishburne,Morpheus,The Matrix Reloaded
Carrie-Anne Moss,Trinity,The Matrix Reloaded
Keanu Reeves,Neo,The Matrix Reloaded
Laurence Fishburne,Morpheus,The Matrix Revolutions
Carrie-Anne Moss,Trinity,The Matrix Revolutions
Keanu Reeves,Neo,The Matrix Revolutions
Michael Nyquist,Viggo Tarasov,John Wick
William Dafoe,Marcus,John Wick
Keanu Reeves,John Wick,John Wick